scenario,available,sigma_vector,TotalAdoption_mean,TotalAdoption_std,adoption_dip_stat,adoption_dip_pval,adoption_bimodal,Unemployment_mean,Unemployment_std,Inflation_mean,Inflation_std,MarketWage_mean,MarketWage_std,GovDebt_mean,GovDebt_std
calibrated,True,"50.0000,10.0000,5.0000,2.0000,1.0000,3.0000",0.12951993333333336,0.014455286378044,0.05998763141620289,0.5459327492823765,False,0.08474566666666665,0.007398715025123519,0.18004830000000005,0.016166425796842906,7390.4416927,76.77934041307913,636929086.6217545,934012118.1468252
empirical,True,"8.9736,4.8810,4.9468,1.0000,0.8000,1.4448",0.11423180000000001,0.013708913886906603,0.04848271821909786,0.8746275770486721,False,0.07773333333333336,0.007482121833172511,0.19501170000000004,0.018549721502045476,7466.955332033333,86.24734197093646,-43603393.92798707,1051009077.4342601
empirical_low,True,"3.4000,2.3993,0.1000,0.1000,0.1000,1.3142",0.07245363333333334,0.005428441590576327,0.05973750241266149,0.553783430165402,False,0.05795399999999999,0.003857763869000475,0.24797333333333332,0.011772555894912991,7741.482396866667,63.55987534750168,-3423113619.955473,671867557.2690159
empirical_high,True,"14.5472,7.3627,10.9054,1.9800,1.5840,1.5755",0.18819023333333335,0.042401974550382256,0.048840546288466936,0.8662433748382246,False,0.10891766666666668,0.019045528334499674,0.14020843333333335,0.02825540097492908,7183.126947833335,132.62822786076592,2560019921.196627,1125818439.445538
